Port,Open
0,1516223500
80,173710000
443,77520000
21,70280000
80,56240000
80,56050000
80,55080000
23,53600000
80,53330000
25,44130000
443,33470000
80,33430000
443,28620000
8080,28490000
25,28210000
4567,26300000
53,22630000
21,22290000
53,20150000
23,18530000
21,18240000
21,17940000
22,16300000
143,15660000
25,13730000
5060,13660000
8080,12880000
993,12800000
23,12170000
110,12010000
3389,10350000
143,10140000
22,9000000
443,8680000
8080,8620000
25,8470000
8080,8220000
8081,7930000
443,7540000
587,7520000
135,7420000
8080,7290000
8085,6980000
110,6410000
111,6280000
465,6190000
5357,5890000
5060,5300000
110,4570000
8085,4440000
993,4200000
8081,4150000
587,4060000
587,4030000
554,3640000
199,3370000
49152,3250000
3306,3090000
5357,3050000
81,2970000
8081,2880000
8008,2720000
8000,2620000
49152,2610000
5900,2550000
8000,2270000
2000,2050000
8080,2000000
81,1760000
443,1730000
3306,1710000
8443,1710000
10000,1640000
5000,1510000
6969,1430000
81,1280000
199,1250000
9999,1190000
8008,1150000
199,1090000
199,1060000
2000,1060000
2000,1030000
10000,995330
8088,975060
10000,969290
8088,967130
444,965410
5900,952840
8000,932200
1025,927130
2000,904240
8888,899630
139,879220
5800,837000
8888,824640
9000,823890
10000,813060
8443,805620
8888,794920
8000,781020
2001,762610
9999,750620
26,732800
1433,707630
26,705600
631,679850
554,679580
5000,672800
8880,669750
139,644770
18182,641520
1050,627660
8880,617560
9000,613200
631,605470
8082,601010
5432,595590
88,594510
8009,591490
3128,575050
515,557410
5000,553320
1026,546090
81,544860
515,544520
444,532620
88,518520
88,517020
2601,503140
8082,497120
2601,492490
6001,490400
106,475220
389,465170
106,452470
1027,447600
9001,440450
5009,438440
3128,426600
9090,408460
2121,406540
990,400290
9001,394480
2049,390030
9001,385490
5190,383240
9001,382430
82,376280
515,375810
82,364480
88,361140
2121,358280
5190,357340
2525,357270
2001,356480
8001,349920
8000,344980
82,338740
1024,333560
9100,332350
2002,329680
548,328600
445,326220
3128,326090
2002,324990
4001,321230
5000,320470
5000,315750
4000,307890
548,305870
5555,305840
79,303790
12345,301220
4001,298770
2002,297420
8001,277580
8083,257970
9080,256220
1026,253910
8083,243180
8008,243010
5001,241770
2869,239710
666,238840
3000,236060
548,234880
1900,224790
2030,217070
2100,215660
50000,215630
8010,214870
9999,214030
6004,213910
1311,213480
1311,204460
85,204070
113,197470
1723,196360
7,196340
515,196010
6002,195030
1311,193530
3000,189480
18264,188050
873,186880
8181,186670
9090,183700
8005,183230
9999,178390
85,178310
8002,176060
1723,175950
1022,174860
50000,174690
1025,174140
1311,173970
113,172500
8181,169760
8007,169180
5901,166510
3050,165980
8008,164500
5800,159660
3000,159470
5222,159050
5901,158900
264,158380
1022,158110
5269,157650
465,156700
513,156520
1099,155320
8088,155210
8194,155090
8005,153570
902,153460
7070,151190
79,149630
7070,148700
513,147890
113,147410
19,147120
993,143840
9002,141660
11211,141580
280,141290
9090,141210
49157,140040
6543,138690
3690,138120
3000,137310
10001,137290
8007,134970
6668,132770
7777,132280
5000,131670
902,131530
50003,131520
1031,131230
19,130540
83,126140
445,124480
593,120720
3690,118200
6667,117600
515,117010
3268,116970
995,114000
83,113250
50000,112180
85,111740
636,111580
636,109880
7777,109750
593,109510
4000,108200
1080,107880
83,107410
4444,104940
6004,104590
3689,104180
2301,103990
1000,103310
8002,103160
1080,102770
5001,101490
6000,98490
9100,98190
9090,96980
1521,96760
8084,96150
1494,95360
5555,94940
5555,94720
11211,94330
100,94270
6000,93000
873,92950
6004,92940
8084,91360
79,91150
6666,91000
1027,90600
3333,89850
9090,88310
2103,87850
8010,86930
20000,86570
50000,85910
7000,85560
7000,85490
7002,85480
6666,85260
10010,83430
5001,83330
55555,83250
8194,82970
9102,82180
10001,81810
7000,81780
9091,81700
119,81340
1352,81210
8010,80010
9091,79640
8009,78520
6666,78360
84,77990
84,76580
1024,76140
5050,75740
9097,75370
6667,75340
119,74740
1234,73640
1080,73030
1111,71970
5801,71860
2005,71760
8003,71220
60023,71000
2103,70350
2107,70340
1494,70090
42,70020
8031,69570
888,68760
9003,68710
84,68500
514,68480
5003,68250
1935,68210
9102,67330
4045,66770
6667,66730
1080,66450
6664,65920
1110,65480
60021,64210
31337,63790
8004,62960
10001,62670
8008,62080
3128,61910
9093,60920
79,60790
1040,60740
6050,60630
523,60560
9092,60560
6667,59880
8006,59760
9092,59750
8003,59300
4444,59110
2003,58610
4444,58200
8883,58060
5061,57590
808,57360
32768,57220
8002,56200
6666,56130
787,55290
8009,55170
9093,55130
2005,54530
5120,54360
8009,54090
2161,53370
9101,52810
3351,52560
7777,51080
2107,50940
8004,50420
8006,50130
444,49720
6005,49640
6669,49520
49157,49250
5003,49180
4443,49010
311,48900
1030,48900
31337,48880
1027,48780
9100,48630
3372,48410
179,47640
6112,47560
3001,47380
1110,47130
514,46970
17988,46610
2105,46590
900,46460
5050,46410
254,46300
100,45840
179,45770
6014,45590
3333,44830
1029,44750
9097,44630
5666,44380
9050,43510
4711,43020
6668,42910
3002,42510
1028,42190
15000,41980
6346,41090
3128,40910
27001,40910
27000,40730
12345,40650
2161,40120
8009,39630
1031,39400
32768,39130
787,38820
2160,38810
2003,38590
13722,38520
5550,38240
3372,38170
6379,38020
1214,37640
6660,37000
5550,36760
6669,36750
8887,36680
9801,36420
6665,36110
5802,35930
2383,35710
646,35600
9030,35500
32770,35470
60000,35430
32771,35240
990,35230
3703,35090
27017,35070
9096,34530
6699,34400
5280,34360
9096,34360
2701,34340
1035,34270
7100,34240
1344,34160
2396,33930
2010,33780
5631,33750
3052,33380
7100,33300
8118,33250
1981,33170
901,33070
2401,33010
8887,32930
5101,32860
10005,32810
111,32730
1720,32710
1583,32630
2064,32550
6662,32550
10031,32550
7402,32370
1033,32360
5432,32340
2717,32310
6600,32240
8881,32190
1056,32160
60009,32130
6663,32000
6668,32000
523,31970
514,31930
1066,31840
1064,31650
6660,31630
32777,31570
14534,31500
32772,31490
8886,31390
1054,31250
1037,31100
1036,31070
445,31010
1074,30970
6003,30930
1071,30620
6103,30580
1039,30510
808,30480
1065,30330
1801,30310
3986,30280
1095,30170
2306,29990
70,29880
1044,29860
1058,29760
1059,29660
1048,29650
254,29520
3031,29370
1049,29330
60000,29280
3689,29240
1069,29230
8884,29230
1053,29170
8882,29140
9099,29130
1998,29080
1220,29000
6011,28900
2040,28710
8881,28610
5051,28340
144,28320
32764,28300
1100,28280
6010,28270
50030,28260
1754,28120
7144,28090
5666,27930
6668,27840
1,27750
9099,27420
8885,27330
32769,27310
5803,27280
9103,27070
8886,26950
6669,26920
6006,26880
8883,26880
9095,26880
9103,26540
5232,26500
8885,26470
9,26460
6662,26460
2715,26390
311,26340
1029,26100
6017,25980
13666,25890
2967,25840
50025,25800
15002,25790
898,25750
6544,25750
1098,25630
7007,25570
1042,25510
3002,25150
4660,25130
6007,25120
6588,25020
641,24970
9107,24970
6015,24960
6646,24940
6009,24840
50001,24720
8884,24620
497,24610
544,24600
1248,24540
1314,24530
3,24440
13013,24350
6016,24270
32767,24270
6802,24160
6012,24150
6669,24070
1610,23900
3872,23820
1830,23750
514,23680
1755,23630
11371,23600
5427,23540
625,23500
1503,23420
3280,23220
1611,23190
32775,22860
3531,22710
8770,22670
540,22650
1217,22460
6008,22310
7776,22300
9098,22210
1500,22200
8882,22090
3310,22050
5530,21980
40193,21750
1526,21660
7180,21650
15000,21610
50022,21610
60001,21550
1028,21520
2024,21340
1090,21320
9089,21270
32774,21170
5520,21040
1030,21020
3052,20730
10010,20700
1029,20560
1031,20480
9088,20460
5432,20390
9105,20340
7937,20300
2068,20180
6661,20100
32773,20090
5120,20080
1200,20000
9094,20000
8307,19960
9106,19930
6018,19920
50005,19770
9089,19620
1050,19590
1761,19350
1038,19270
6664,19270
7938,19160
6020,19120
6013,19100
5556,18920
9104,18880
591,18660
1100,18590
2383,18400
6661,18390
32757,18350
9094,18300
9095,18280
60022,18200
1501,17970
1035,17700
32771,17690
22001,17590
783,17480
3004,17480
9088,17330
497,17240
505,17010
5570,16940
32776,16860
771,16800
6670,16770
5631,16730
6163,16680
3006,16540
6019,16500
6588,16500
18086,16470
60002,16470
6663,16230
1112,16190
50002,16190
620,16130
1056,16090
1032,16000
8087,15920
1414,15830
1035,15800
3006,15780
406,15710
1417,15680
15001,15640
449,15600
646,15450
256,15390
2627,15300
512,15290
7008,15280
1748,15210
3005,15180
7145,15180
49400,15170
1038,15150
2717,15140
1241,15050
544,15010
1033,14890
5051,14870
7780,14870
1109,14830
6560,14820
1054,14780
1028,14770
1048,14760
4155,14740
5101,14680
4999,14630
7210,14550
1037,14540
2600,14510
6670,14510
9098,14500
1418,14470
1522,14460
3003,14430
8031,14180
1972,14120
32787,14120
11965,14090
1212,14080
1415,14080
3025,14080
3005,14070
7210,14030
1066,13960
32779,13940
1,13900
1241,13840
60019,13830
1419,13610
1044,13550
1416,13500
161,13490
1049,13420
7200,13390
1109,13340
1074,13290
1583,13280
32765,13280
1065,13230
1527,13220
1042,13180
1064,13170
98,13140
32778,13130
1095,13090
19350,13090
1505,13020
1501,12980
1036,12970
1058,12900
1071,12890
1420,12890
3351,12820
5400,12720
5600,12720
1059,12690
1069,12690
1433,12580
2427,12540
1010,12460
7272,12440
540,12420
3940,12290
7272,12280
7171,12220
144,12080
3900,12020
1801,11990
1998,11930
50015,11910
1400,11870
27004,11870
43,11860
1302,11820
32752,11770
1043,11750
1526,11710
111,11700
1041,11700
1105,11540
32797,11530
1105,11520
2947,11460
3986,11330
7101,11330
8138,11300
27008,11270
1702,11260
7938,11210
32755,11190
17007,11140
4899,11120
60004,11120
1574,11090
1068,11080
32211,11070
3632,11060
3703,11030
255,11010
19150,10980
1526,10970
32768,10940
7937,10930
1467,10920
1666,10900
31416,10880
9481,10840
1090,10820
22490,10820
1503,10720
1763,10690
32780,10680
32753,10610
4369,10600
5323,10550
11371,10540
11210,10530
13783,10510
27003,10510
427,10480
1550,10480
1220,10450
32763,10450
1688,10440
27010,10420
616,10380
37435,10370
32807,10350
8333,10330
32762,10300
60003,10290
27002,10280
32756,10220
13720,10180
1432,10160
5302,10110
27009,10040
14238,10020
510,9980
524,9940
30444,9940
1039,9920
27005,9910
1762,9870
26214,9810
32782,9760
26470,9740
32754,9710
7461,9700
710,9650
50006,9600
1549,9590
27006,9580
60010,9490
32766,9370
32781,9260
50023,9140
27007,9110
32803,9040
3493,9030
543,9010
50008,9000
60007,8810
1053,8790
60006,8790
32759,8690
32751,8680
32784,8640
32758,8630
543,8600
32760,8520
32761,8480
32783,8380
32750,8370
50007,8250
3892,8160
50021,7980
32771,7970
255,7940
50010,7900
4868,7890
544,7880
50012,7830
50011,7780
50017,7760
32786,7750
60012,7750
6646,7730
3,7700
60020,7670
60025,7670
214,7660
464,7660
35,7620
50009,7590
44,7460
32785,7430
32800,7340
464,7320
60013,7270
50016,7230
9,7160
60024,7160
60011,7110
50014,7100
60015,6970
625,6870
50018,6850
711,6820
50020,6790
60008,6770
50004,6680
50019,6640
41523,6600
135,6580
32789,6580
50024,6570
60017,6570
50013,6530
60018,6530
60016,6510
60014,6490
32788,6420
544,6350
32792,6300
32793,6200
32794,6190
32790,6080
505,6010
32801,5980
34012,5960
782,5860
32791,5770
628,5740
32804,5720
56667,5650
390,5630
32805,5620
32799,5560
55553,5560
32802,5430
33015,5430
1687,5330
32806,5330
731,5210
130,5070
32798,5060
32809,5020
660,4930
32796,4910
32810,4820
706,4780
32808,4780
628,4680
32795,4460
38978,4420
257,3860
